,Proto,Src IP Addr,Dst IP Addr,Dst Pt,Flags
Simulation,0.0019295524630226,0.0021331721053427,0.0046287107273948,0.0021957030021608,0.001911248527486
BN_indep,0.0578083867816488,0.1329461807198279,0.033541985476534,0.1837709879689957,0.1375319462915854
BN_timedep_5step,0.0579915953051584,0.0025825961967024,0.0336844357128273,0.1828446454574261,0.1435617954309321
TVAE,0.0479122320688141,0.1607691214523036,0.0323274067322406,0.1001074805925509,0.0534872385054904
CTGAN,0.0493014214071479,0.1403657868894267,0.0330771383617502,0.0915632851556499,0.0514127793338127
E-WGAN-GP,0.048325,0.161313,0.282547,0.080377,0.187262
NetShare,0.0412978684933368,0.0508618774050591,0.209566047219521,0.1286722326144465,0.1213094109362237
Transformer,0.0485279416028488,0.0097266933777399,0.0333689069361104,0.0919731974750928,0.0309080648048009
Our,0.019384919048301,0.0011232199759409,0.0264341955689567,0.0155273354044455,0.0385383274365347
