,In Byte,Out Byte,In Packet,Out Packet,Duration
Test,4.724680486654742e-05,3.88645573374245e-05,5.3303755914103326e-05,5.5921261390740116e-05,5.185025112251936e-05
BN_indep,0.00019712870781236685,0.00010294158831118361,0.0001737104961277165,0.00021062462156801732,0.0003460432537565021
BN_timedep_5step,0.00012849834029896924,9.569832498342493e-05,0.0001482505963527589,0.00016209293777412405,0.00026306591328531976
TVAE,0.0001544750008523966,0.00029475025315156686,0.0004112562232900836,0.00040217954899357457,0.0006270216219228366
CTGAN,0.00021258361945928163,0.00022273778608506524,0.0004548352981814492,0.0004939803662189513,0.00046797941287676456
E-WGAN-GP,4.8719696678539984e-05,3.903981223452837e-05,5.697211097911006e-05,5.892293956990215e-05,7.077625223300349e-05
NetShare,6.27047360120468e-05,5.228063248526029e-05,7.366707705974305e-05,7.549245109154837e-05,8.073734879820505e-05
Transformer,4.731085127121934e-05,3.863718453055136e-05,5.303382126927557e-05,5.55082936201532e-05,5.26864981211214e-05
Our,4.407286583624495e-05,3.630635921693658e-05,5.043767058120038e-05,5.34405850349306e-05,5.109152980080354e-05
